,customer_id,Customer_Full_Name,country,rating,Genre,rental_rate,rental_duration,inventory_id,film_id,staff_id,Employee_full_Name,Actor_Full_Name,movie_title,rental_id,rental_date,return_date,store_id,payment_id,payment_amount,Revenue,Sales_Rating
38,39,DEBRA NELSON,Brazil,PG-13,Foreign,0.99,3,3367,738,1,Mike Hillyer,JUDY DEAN,ROCKETEER MOTHER,1625,2005-06-16 07:49:08.000,2005-06-24 09:08:08.000,1,1068,5.99,2.9699999999999998,below average
39,40,AMANDA CARTER,Morocco,NC-17,Games,4.99,4,4322,941,1,Mike Hillyer,RALPH CRUZ,VIDEOTAPE ARSENIC,128,2005-05-25 21:19:53.000,2005-05-29 23:34:53.000,1,1097,4.99,19.96,Above Average
40,41,STEPHANIE MITCHELL,Armenia,PG,Sports,4.99,7,1935,420,1,Mike Hillyer,KARL BERRY,HOLES BRANNIGAN,2563,2005-06-19 03:24:17.000,2005-06-23 04:08:17.000,1,1124,4.99,34.93,Above Average
41,42,CAROLYN PEREZ,Thailand,G,Action,0.99,4,1648,360,1,Mike Hillyer,MATTHEW LEIGH,GLASS DYING,635,2005-05-28 17:46:57.000,2005-06-06 18:24:57.000,1,1149,5.99,3.96,below average
42,43,CHRISTINE ROBERTS,French Polynesia,R,Sci-Fi,4.99,4,1795,390,2,Jon Stephens,RIP CRAWFORD,GUYS FALCON,123,2005-05-25 20:26:42.000,2005-05-26 19:41:42.000,2,1179,4.99,19.96,Above Average
43,44,MARIE TURNER,Russian Federation,PG,Sci-Fi,0.99,6,611,132,1,Mike Hillyer,NICK WAHLBERG,CHAINSAW UPTOWN,29,2005-05-25 03:47:12.000,2005-05-30 00:31:12.000,1,1203,0.99,5.9399999999999995,below average
44,45,JANET PHILLIPS,Chile,PG,Comedy,2.99,3,1409,308,2,Jon Stephens,SISSY SOBIESKI,FERRIS MOTHER,277,2005-05-26 17:32:11.000,2005-05-28 22:54:11.000,2,1229,2.99,8.97,below average
45,46,CATHERINE CAMPBELL,Russian Federation,NC-17,Classics,2.99,7,2179,471,2,Jon Stephens,RAY JOHANSSON,ISLAND EXORCIST,401,2005-05-27 12:57:55.000,2005-05-29 17:55:55.000,2,1256,2.99,20.93,Above Average
46,47,FRANCES PARKER,Brazil,PG-13,Foreign,0.99,5,4346,947,2,Jon Stephens,MENA TEMPLE,VISION TORQUE,175,2005-05-26 03:46:26.000,2005-06-03 06:01:26.000,2,1290,3.99,4.95,below average
47,48,ANN EVANS,Russian Federation,PG-13,Animation,0.99,4,2260,489,2,Jon Stephens,MILLA PECK,JUGGLER HARDLY,72,2005-05-25 10:52:13.000,2005-05-28 05:52:13.000,2,1312,0.99,3.96,below average
48,49,JOYCE EDWARDS,Saudi Arabia,PG-13,Action,0.99,4,3418,748,2,Jon Stephens,JUDY DEAN,RUGRATS SHAKESPEARE,96,2005-05-25 16:32:19.000,2005-05-30 10:47:19.000,2,1329,1.99,3.96,below average
49,50,DIANE COLLINS,Sudan,PG-13,Drama,4.99,4,2022,439,1,Mike Hillyer,GROUCHO DUNST,HUNCHBACK IMPOSSIBLE,763,2005-05-29 11:32:15.000,2005-05-31 17:31:15.000,1,1357,4.99,19.96,Above Average
50,51,ALICE STEWART,United States,PG-13,Animation,4.99,5,1359,300,2,Jon Stephens,MARY TANDY,FALCON VOLUME,119,2005-05-25 19:37:02.000,2005-05-29 23:51:02.000,2,1392,4.99,24.950000000000003,Above Average
51,52,JULIE SANCHEZ,Spain,PG-13,Drama,0.99,5,363,79,1,Mike Hillyer,JENNIFER DAVIS,BLADE POLISH,874,2005-05-30 05:36:21.000,2005-06-01 09:32:21.000,1,1425,0.99,4.95,below average
52,53,HEATHER MORRIS,Japan,R,Classics,2.99,3,2221,480,1,Mike Hillyer,ED CHASE,JEEPERS WEDDING,88,2005-05-25 14:13:54.000,2005-05-29 09:32:54.000,1,1454,3.99,8.97,below average
53,54,TERESA ROGERS,Japan,NC-17,Comedy,0.99,5,1789,388,2,Jon Stephens,CARMEN HUNT,GUNFIGHT MOON,198,2005-05-26 07:03:49.000,2005-06-04 11:45:49.000,2,1484,4.99,4.95,below average
54,55,DORIS REED,Russian Federation,R,Foreign,4.99,7,4397,961,1,Mike Hillyer,MENA TEMPLE,WASH HEAVENLY,555,2005-05-28 08:31:14.000,2005-05-30 07:34:14.000,1,1513,4.99,34.93,Above Average
55,56,GLORIA COOK,French Polynesia,PG,Action,2.99,4,3990,869,1,Mike Hillyer,JOHNNY CAGE,SUSPECTS QUILLS,130,2005-05-25 21:21:56.000,2005-05-30 22:41:56.000,1,1535,3.99,11.96,below average
56,57,EVELYN MORGAN,Liechtenstein,G,Documentary,4.99,3,2622,575,2,Jon Stephens,JADA RYDER,MIDSUMMER GROUNDHOG,152,2005-05-26 00:41:10.000,2005-06-03 06:05:10.000,2,1565,9.99,14.97,below average
57,58,JEAN BELL,Malaysia,R,Comedy,0.99,4,1085,242,1,Mike Hillyer,CAMERON STREEP,DOOM DANCING,230,2005-05-26 11:31:50.000,2005-05-30 15:22:50.000,1,1593,0.99,3.96,below average
58,59,CHERYL MURPHY,India,NC-17,Travel,4.99,6,764,167,2,Jon Stephens,CAMERON WRAY,COMA HEAD,212,2005-05-26 08:34:41.000,2005-05-30 12:46:41.000,2,1620,4.99,29.94,Above Average
59,60,MILDRED BAILEY,India,NC-17,New,2.99,6,2559,561,1,Mike Hillyer,NICK WAHLBERG,MASK PEACH,318,2005-05-26 23:37:39.000,2005-06-03 04:31:39.000,1,1647,4.99,17.94,Above Average
60,61,KATHERINE RIVERA,Switzerland,PG,Comedy,0.99,4,1449,317,1,Mike Hillyer,VAL BOLGER,FIREBALL PHILADELPHIA,1157,2005-05-31 22:47:45.000,2005-06-02 18:01:45.000,1,1672,0.99,3.96,below average
61,62,JOAN COOPER,United States,G,Sci-Fi,0.99,6,646,140,2,Jon Stephens,PENELOPE GUINESS,CHEAPER CLYDE,885,2005-05-30 06:54:28.000,2005-06-03 07:03:28.000,2,1686,0.99,5.9399999999999995,below average
62,63,ASHLEY RICHARDSON,United States,NC-17,New,0.99,7,1218,270,2,Jon Stephens,KENNETH TORN,EARTH VISION,1818,2005-06-16 21:30:34.000,2005-06-20 03:27:34.000,2,1709,0.99,6.93,below average
63,64,JUDITH COX,China,PG-13,Drama,4.99,5,1850,403,1,Mike Hillyer,FAY KILMER,HARRY IDAHO,494,2005-05-28 00:39:31.000,2005-06-02 19:35:31.000,1,1734,4.99,24.950000000000003,Above Average
64,65,ROSE HOWARD,French Guiana,G,Travel,4.99,3,4030,878,1,Mike Hillyer,MILLA PECK,TEEN APOLLO,295,2005-05-26 20:33:20.000,2005-05-27 18:23:20.000,1,1767,4.99,14.97,below average
65,66,JANICE WARD,Sweden,PG-13,Horror,4.99,7,3672,804,2,Jon Stephens,KIRSTEN PALTROW,SLEEPING SUSPECTS,933,2005-05-30 13:08:45.000,2005-06-01 18:56:45.000,2,1789,4.99,34.93,Above Average
66,67,KELLY TORRES,China,R,Games,4.99,4,1872,408,2,Jon Stephens,GARY PHOENIX,HEAD STRANGER,331,2005-05-27 02:22:26.000,2005-06-05 00:25:26.000,2,1823,9.99,19.96,Above Average
67,68,NICOLE PETERSON,India,PG-13,Family,4.99,3,316,71,2,Jon Stephens,GOLDIE BRODY,BILKO ANONYMOUS,1828,2005-06-16 22:04:34.000,2005-06-20 21:07:34.000,2,1845,5.99,14.97,below average
68,69,JUDY GRAY,Algeria,NC-17,Music,4.99,5,1833,398,2,Jon Stephens,JENNIFER DAVIS,HANOVER GALAXY,584,2005-05-28 11:49:00.000,2005-06-01 11:54:00.000,2,1867,4.99,24.950000000000003,Above Average
69,70,CHRISTINA RAMIREZ,Saudi Arabia,R,Games,4.99,6,2574,563,2,Jon Stephens,SPENCER DEPP,MASSACRE USUAL,1044,2005-05-31 06:24:44.000,2005-06-03 04:51:44.000,2,1892,4.99,29.94,Above Average
70,71,KATHY JAMES,Philippines,NC-17,Music,2.99,5,2135,462,1,Mike Hillyer,DAN TORN,INSIDER ARIZONA,199,2005-05-26 07:11:58.000,2005-05-28 09:06:58.000,1,1910,2.99,14.950000000000001,below average
71,72,THERESA WATSON,Philippines,R,Horror,4.99,6,39,8,2,Jon Stephens,FAY KILMER,AIRPORT POLLOCK,785,2005-05-29 15:08:41.000,2005-05-30 15:51:41.000,2,1940,4.99,29.94,Above Average
72,73,BEVERLY BROOKS,Taiwan,PG,Children,2.99,5,2168,468,1,Mike Hillyer,WOODY JOLIE,INVASION CYCLONE,70,2005-05-25 10:15:23.000,2005-05-27 05:56:23.000,1,1970,2.99,14.950000000000001,below average
73,74,DENISE KELLY,Brazil,PG,Sci-Fi,4.99,4,1691,369,2,Jon Stephens,NICK WAHLBERG,GOODFELLAS SALUTE,1121,2005-05-31 16:37:36.000,2005-06-06 21:02:36.000,2,1994,6.99,19.96,Above Average
74,75,TAMMY SANDERS,Taiwan,PG,Family,4.99,6,2752,603,1,Mike Hillyer,HELEN VOIGHT,MOVIE SHAKESPEARE,180,2005-05-26 04:46:23.000,2005-06-01 09:58:23.000,1,2021,4.99,29.94,Above Average
75,76,IRENE PRICE,Kazakstan,NC-17,Animation,0.99,6,3883,849,2,Jon Stephens,CHRISTOPHER BERRY,STORM HAPPINESS,574,2005-05-28 10:44:28.000,2005-06-04 11:42:28.000,2,2062,1.99,5.9399999999999995,below average
76,77,JANE BENNETT,Brazil,PG,Action,2.99,6,3024,664,2,Jon Stephens,CARMEN HUNT,PATRIOT ROMAN,319,2005-05-26 23:52:13.000,2005-05-30 18:55:13.000,2,2085,2.99,17.94,Above Average
77,78,LORI WOOD,India,R,Documentary,0.99,4,182,40,1,Mike Hillyer,ED CHASE,ARMY FLINTSTONES,2207,2005-06-18 02:19:21.000,2005-06-24 02:25:21.000,1,2113,2.99,3.96,below average
78,79,RACHEL BARNES,Japan,PG,Horror,4.99,5,4049,881,1,Mike Hillyer,MILLA PECK,TEMPLE ATTRACTION,840,2005-05-30 00:28:41.000,2005-05-31 20:39:41.000,1,2144,4.99,24.950000000000003,Above Average
79,80,MARILYN ROSS,Nigeria,R,Classics,0.99,3,2229,482,1,Mike Hillyer,ALEC WAYNE,JEOPARDY ENCINO,2596,2005-06-19 05:48:26.000,2005-06-24 10:16:26.000,1,2166,2.99,2.9699999999999998,below average
80,81,ANDREA HENDERSON,Madagascar,PG-13,Family,0.99,5,2449,534,1,Mike Hillyer,HENRY BERRY,LOUISIANA HARRY,289,2005-05-26 20:01:09.000,2005-05-28 15:09:09.000,1,2196,0.99,4.95,below average
81,82,KATHRYN COLEMAN,Ukraine,NC-17,Children,0.99,4,3905,852,2,Jon Stephens,JUDE CRUISE,STRANGELOVE DESIRE,145,2005-05-25 23:59:03.000,2005-05-31 02:56:03.000,2,2218,2.99,3.96,below average
82,83,LOUISE JENKINS,South Africa,PG,Sci-Fi,0.99,5,2745,602,2,Jon Stephens,CHRISTIAN AKROYD,MOURNING PURPLE,222,2005-05-26 10:14:38.000,2005-05-31 08:36:38.000,2,2244,0.99,4.95,below average
83,84,SARA PERRY,Mexico,R,Animation,0.99,3,1438,314,2,Jon Stephens,NICK WAHLBERG,FIGHT JAWBREAKER,408,2005-05-27 13:57:39.000,2005-05-28 11:57:39.000,2,2269,0.99,2.9699999999999998,below average
84,85,ANNE POWELL,United Kingdom,PG-13,New,4.99,3,2646,580,1,Mike Hillyer,NICK DEGENERES,MINE TITANS,690,2005-05-29 00:54:53.000,2005-06-06 00:45:53.000,1,2302,9.99,14.97,below average
85,86,JACQUELINE LONG,Thailand,G,Travel,0.99,3,1162,257,1,Mike Hillyer,,DRUMLINE CYCLONE,66,2005-05-25 09:35:12.000,2005-05-29 04:16:12.000,1,2325,1.99,2.9699999999999998,below average
86,87,WANDA PATTERSON,Colombia,PG-13,New,4.99,5,205,45,2,Jon Stephens,UMA WOOD,ATTRACTION NEWTON,451,2005-05-27 19:27:54.000,2005-05-29 01:07:54.000,2,2358,4.99,24.950000000000003,Above Average
87,88,BONNIE HUGHES,South Korea,R,Travel,2.99,7,1308,288,2,Jon Stephens,JOHNNY LOLLOBRIGIDA,ESCAPE METROPOLIS,36,2005-05-25 04:36:26.000,2005-05-29 00:31:26.000,2,2388,2.99,20.93,Above Average
88,89,JULIA FLORES,Argentina,PG-13,Sports,0.99,6,811,176,2,Jon Stephens,TOM MCKELLEN,CONGENIALITY QUEST,141,2005-05-25 23:34:53.000,2005-06-02 01:57:53.000,2,2409,2.99,5.9399999999999995,below average
89,90,RUBY WASHINGTON,China,G,Foreign,0.99,6,58,11,2,Jon Stephens,JOHNNY CAGE,ALAMO VIDEOTAPE,2033,2005-06-17 13:24:43.000,2005-06-20 12:34:43.000,2,2441,0.99,5.9399999999999995,below average
90,91,LOIS BUTLER,Brunei,PG-13,Games,0.99,3,1398,306,2,Jon Stephens,MILLA PECK,FEATHERS METAL,216,2005-05-26 09:17:43.000,2005-06-03 08:21:43.000,2,2469,5.99,2.9699999999999998,below average
91,92,TINA SIMMONS,Brazil,NC-17,Drama,4.99,7,2388,521,1,Mike Hillyer,HELEN VOIGHT,LIES TREATMENT,271,2005-05-26 16:22:01.000,2005-06-03 17:30:01.000,1,2504,5.99,34.93,Above Average
92,93,PHYLLIS FOSTER,China,R,Animation,2.99,4,2963,649,2,Jon Stephens,SANDRA KILMER,OZ LIAISONS,113,2005-05-25 19:07:40.000,2005-05-27 22:16:40.000,2,2532,2.99,11.96,below average
93,94,NORMA GONZALES,Philippines,G,Foreign,0.99,6,2026,440,1,Mike Hillyer,MERYL GIBSON,HUNGER ROOF,127,2005-05-25 21:10:40.000,2005-06-02 21:38:40.000,1,2555,2.99,5.9399999999999995,below average
94,95,PAULA BRYANT,India,NC-17,Drama,4.99,3,3524,771,1,Mike Hillyer,MATTHEW JOHANSSON,SCORPION APOLLO,490,2005-05-28 00:09:56.000,2005-05-30 22:32:56.000,1,2576,4.99,14.97,below average
95,96,DIANA ALEXANDER,United States,R,Classics,0.99,3,2230,482,1,Mike Hillyer,ALEC WAYNE,JEOPARDY ENCINO,1266,2005-06-15 07:11:39.000,2005-06-21 02:59:39.000,1,2594,3.99,2.9699999999999998,below average
96,97,ANNIE RUSSELL,Mozambique,G,Comedy,2.99,3,2423,529,2,Jon Stephens,RIP CRAWFORD,LONELY ELEPHANT,2083,2005-06-17 17:14:00.000,2005-06-18 18:31:00.000,2,2621,2.99,8.97,below average
97,98,LILLIAN GRIFFIN,United Arab Emirates,R,Sci-Fi,2.99,4,1453,319,2,Jon Stephens,PARKER GOLDBERG,FISH OPUS,214,2005-05-26 08:48:49.000,2005-05-31 04:06:49.000,2,2639,3.99,11.96,below average
98,99,EMILY DIAZ,South Korea,PG-13,Classics,0.99,4,3389,744,2,Jon Stephens,JOHNNY CAGE,ROOTS REMEMBER,867,2005-05-30 03:54:43.000,2005-06-01 22:59:43.000,2,2664,0.99,3.96,below average
99,100,ROBIN HAYES,Russian Federation,R,Classics,0.99,4,2408,525,1,Mike Hillyer,AUDREY OLIVIER,LOATHING LEGALLY,71,2005-05-25 10:26:39.000,2005-05-28 04:59:39.000,1,2688,0.99,3.96,below average
100,101,PEGGY MYERS,Saudi Arabia,PG-13,Animation,4.99,3,2656,583,1,Mike Hillyer,FRED COSTNER,MISSION ZOOLANDER,468,2005-05-27 21:13:10.000,2005-06-04 15:26:10.000,1,2712,9.99,14.97,below average
101,102,CRYSTAL FORD,Israel,R,Animation,4.99,3,4095,892,1,Mike Hillyer,BETTE NICHOLSON,TITANIC BOONDOCK,247,2005-05-26 14:01:05.000,2005-05-28 13:38:05.000,1,2736,4.99,14.97,below average
102,103,GLADYS HAMILTON,Nigeria,R,Horror,4.99,6,3420,749,1,Mike Hillyer,PENELOPE GUINESS,RULES HUMAN,240,2005-05-26 12:40:23.000,2005-06-04 07:22:23.000,1,2769,7.99,29.94,Above Average
103,104,RITA GRAHAM,France,R,Action,4.99,3,2306,501,1,Mike Hillyer,TOM MCKELLEN,KISSING DOLLS,163,2005-05-26 02:26:23.000,2005-06-04 06:36:23.000,1,2800,10.99,14.97,below average
104,105,DAWN SULLIVAN,Tuvalu,NC-17,Children,4.99,4,2678,588,1,Mike Hillyer,UMA WOOD,MODEL FISH,327,2005-05-27 01:18:57.000,2005-06-04 04:06:57.000,1,2824,8.99,19.96,Above Average
105,106,CONNIE WALLACE,Russian Federation,G,Family,2.99,6,23,5,2,Jon Stephens,GARY PHOENIX,AFRICAN EGG,552,2005-05-28 07:53:38.000,2005-06-04 12:45:38.000,2,2850,3.99,17.94,Above Average
106,107,FLORENCE WOODS,Argentina,PG,New,2.99,4,3688,806,1,Mike Hillyer,GRACE MOSTEL,SLEEPY JAPANESE,170,2005-05-26 03:11:12.000,2005-06-02 03:53:12.000,1,2873,5.99,11.96,below average
107,108,TRACY COLE,Mexico,PG-13,Drama,4.99,7,794,173,1,Mike Hillyer,GRACE MOSTEL,CONFESSIONS MAGUIRE,105,2005-05-25 17:54:12.000,2005-05-30 12:03:12.000,1,2903,4.99,34.93,Above Average
108,109,EDNA WEST,South Africa,PG-13,Horror,2.99,5,3374,740,1,Mike Hillyer,HARRISON BALE,ROLLERCOASTER BRINGING,203,2005-05-26 07:27:57.000,2005-06-03 12:52:57.000,1,2933,5.99,14.950000000000001,below average
109,110,TIFFANY JORDAN,China,PG-13,Drama,4.99,4,3369,739,1,Mike Hillyer,SISSY SOBIESKI,ROCKY WAR,515,2005-05-28 03:10:10.000,2005-06-04 02:18:10.000,1,2959,7.99,19.96,Above Average
110,111,CARMEN OWENS,Venezuela,NC-17,Foreign,2.99,5,71,15,2,Jon Stephens,BURT DUKAKIS,ALIEN CENTER,505,2005-05-28 02:06:37.000,2005-05-29 06:57:37.000,2,2973,2.99,14.950000000000001,below average
111,112,ROSA REYNOLDS,United States,PG-13,Classics,0.99,4,1020,228,1,Mike Hillyer,KENNETH TORN,DETECTIVE VISION,396,2005-05-27 11:47:04.000,2005-05-29 10:14:04.000,1,2999,0.99,3.96,below average
112,113,CINDY FISHER,Venezuela,R,Documentary,0.99,5,4338,945,1,Mike Hillyer,KARL BERRY,VIRGINIAN PLUTO,510,2005-05-28 02:52:14.000,2005-05-30 21:20:14.000,1,3029,0.99,4.95,below average
